CD,FI3312A,TI3302A
6.013,29.860,89.336
6.012,29.807,89.317
6.012,29.530,89.319
6.014,29.856,89.322
6.012,29.822,89.336
6.012,29.609,89.341
6.013,29.667,89.314
6.014,29.076,89.315
6.014,29.928,89.313
6.014,29.159,89.321
6.013,29.222,89.346
6.013,29.610,89.360
6.013,29.964,89.360
6.014,29.455,89.414
6.014,29.872,89.392
6.014,29.904,89.417
6.015,29.882,89.450
6.014,29.726,89.474
6.015,30.028,89.465
6.014,29.928,89.394
6.014,30.285,89.347
6.015,29.453,89.029
6.014,29.974,89.012
6.014,30.161,89.051
6.013,29.428,89.074
6.014,30.020,89.092
6.014,29.934,89.079
6.014,29.502,89.043
6.014,29.627,89.052
6.013,30.159,89.011
