CD,FI3312A,FI3312B,TI3302A
6.012,28.089,30.705,89.541
6.013,28.296,30.793,89.162
6.013,28.996,30.780,88.602
6.012,28.486,30.728,89.220
6.012,28.629,30.610,89.610
6.013,28.467,30.850,89.617
6.012,28.045,30.927,89.653
6.009,29.037,30.651,89.512
6.011,29.345,30.683,89.542
6.012,28.782,30.577,89.549
6.010,29.381,30.324,89.528
6.011,29.546,30.550,89.525
6.011,29.500,30.691,89.514
6.010,29.414,30.379,89.548
6.010,29.394,30.313,89.573
6.012,28.964,30.595,89.619
6.013,29.598,30.664,89.646
6.013,28.819,30.590,89.644
6.013,28.900,30.659,89.727
6.015,29.511,30.811,89.693
6.016,29.499,30.851,89.692
6.016,29.515,30.719,89.635
6.014,29.478,30.925,89.628
6.015,29.514,30.815,89.604
6.013,29.594,30.583,89.580
6.012,29.591,30.900,89.558
6.013,29.500,30.576,89.554
6.011,29.362,30.758,89.582
6.011,29.476,30.653,89.620
6.014,29.126,30.552,89.640
6.014,29.373,30.785,89.633
6.013,28.789,30.739,89.617
6.014,29.406,30.420,89.605
6.013,29.621,30.581,89.574
6.011,29.026,30.605,89.552
6.011,28.861,30.795,89.558
6.012,29.559,30.218,89.545
6.014,29.643,30.807,89.600
6.015,28.862,30.464,89.674
6.017,29.613,30.726,89.681
6.015,29.548,30.656,89.704
6.015,29.659,30.602,89.690
6.017,29.593,30.429,89.667
6.017,29.482,30.640,89.629
6.015,28.901,30.312,89.640
6.014,28.685,30.470,89.608
6.013,29.552,30.558,89.580
6.014,28.837,30.586,89.531
6.013,29.008,30.471,89.557
6.014,29.603,30.485,89.624
6.012,29.589,30.656,89.627
6.013,28.778,30.696,89.644
6.014,29.422,30.614,89.599
6.013,29.551,30.649,89.592
6.013,29.568,30.387,89.552
6.014,29.649,30.627,89.570
6.013,28.599,30.564,89.552
6.013,29.505,30.540,89.549
6.013,29.591,30.199,89.546
3.677,18.954,30.308,87.715
3.678,18.999,30.264,87.449
3.678,18.981,29.986,87.534
3.678,18.975,30.170,87.531
3.679,18.976,29.942,87.535
3.678,18.977,29.981,87.533
3.678,18.956,29.895,87.552
3.677,18.954,29.880,87.574
3.677,18.909,29.847,87.422
3.677,18.902,30.000,87.419
3.677,18.906,30.090,87.445
3.678,18.894,30.075,87.496
3.677,18.904,30.210,87.527
6.012,28.606,30.441,88.960
6.013,28.562,30.416,88.699
6.010,28.523,30.515,88.699
6.010,28.305,30.453,88.718
6.012,28.377,30.367,88.729
6.013,28.242,30.285,88.719
6.012,28.530,30.329,88.696
6.011,28.627,30.305,88.692
6.011,28.261,30.154,88.667
3.677,18.999,30.372,87.506
3.677,19.255,30.203,87.491
3.679,19.253,30.382,87.529
3.678,19.377,30.471,87.576
3.678,19.341,30.281,87.527
3.677,19.350,30.199,87.472
3.679,19.353,30.286,87.418
3.677,19.270,30.248,87.392
3.676,19.006,30.157,86.879
3.676,18.946,30.366,86.759
3.676,18.557,30.252,86.760
3.675,19.214,29.924,87.251
3.676,19.181,30.280,88.055
6.012,28.093,30.797,89.175
6.010,28.283,30.495,88.798
6.011,28.484,30.260,88.784
6.011,28.060,30.607,88.783
6.012,28.229,30.594,88.775
6.011,28.349,30.475,88.764
6.011,28.226,30.699,88.753
6.010,28.368,30.564,88.776
6.012,28.453,30.518,88.720
6.011,28.598,30.782,88.808
6.014,28.711,30.705,88.801
6.013,28.720,30.712,88.808
6.014,28.566,30.448,88.808
6.014,28.141,30.555,88.812
6.015,28.740,30.678,88.806
6.012,28.274,30.527,89.417
6.013,28.332,30.485,89.350
6.014,28.668,30.458,89.319
6.014,28.490,30.431,89.280
6.013,28.937,30.398,89.271
