DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
26.542,6.015,29.805,31.622,88.982,87.492
26.583,6.015,29.656,31.828,88.946,87.467
26.625,6.014,29.671,31.487,89.021,87.518
26.667,6.015,29.827,31.519,88.878,87.371
26.708,6.013,29.814,31.535,88.868,87.347
26.750,6.012,29.620,31.760,88.851,87.312
26.792,6.012,29.835,31.742,88.849,87.246
26.833,6.013,29.701,31.453,88.892,87.292
26.875,6.013,29.968,31.548,88.925,87.295
26.958,6.013,29.913,31.663,88.836,87.200
27.000,6.012,29.818,31.510,88.814,87.195
27.042,6.012,29.673,31.378,88.792,87.138
27.083,6.014,29.864,31.662,88.793,87.189
