DOL,CD,FI3312B,TI3302A
32.958,6.010,31.508,88.979
33.000,6.010,31.395,88.883
33.042,6.011,31.302,88.944
33.083,6.011,31.356,89.050
33.125,6.011,31.362,89.065
33.167,6.008,31.347,89.028
33.208,6.008,31.158,88.983
33.250,6.010,31.129,88.950
33.292,6.010,31.285,88.974
33.375,6.010,31.357,89.081
33.417,6.008,31.538,89.071
33.458,6.012,31.143,89.139
33.500,6.011,31.056,89.182
33.542,6.012,31.379,89.133
33.583,6.013,31.056,89.105
33.625,6.010,31.225,89.091
33.667,6.012,31.103,89.062
33.708,6.010,31.343,89.018
33.750,6.010,30.960,89.020
33.792,6.009,30.874,88.983
33.833,6.008,30.712,88.977
33.875,6.007,30.868,88.970
33.958,6.006,30.896,88.968
34.000,6.006,31.276,88.926
34.042,6.005,30.727,89.206
34.083,6.006,30.798,89.271
34.125,6.006,30.760,89.285
34.167,6.005,30.633,89.229
34.208,6.005,30.571,89.201
34.250,6.003,30.721,89.168
34.292,6.003,30.342,89.195
34.375,6.005,30.888,89.278
34.417,6.006,30.957,89.356
34.458,6.009,30.828,89.414
34.500,6.011,31.000,89.486
34.542,6.011,30.875,89.443
34.583,6.010,30.981,89.389
34.625,6.012,31.209,89.427
34.667,6.013,31.040,89.499
34.708,6.013,31.231,89.387
34.750,6.012,31.156,89.331
34.792,6.011,31.512,89.329
34.833,6.012,31.349,89.364
34.875,6.011,30.963,89.350
34.958,6.010,30.899,89.367
35.000,6.009,30.853,89.317
35.042,6.009,30.815,89.287
35.083,6.008,30.862,89.251
35.125,6.009,30.857,89.244
35.167,6.008,30.982,89.272
35.208,6.008,30.911,89.276
35.250,6.008,30.724,89.267
35.292,6.007,30.944,89.300
35.375,6.009,31.044,89.410
35.417,6.011,30.561,89.107
35.458,6.012,30.256,88.865
35.500,6.012,30.620,89.063
35.542,6.014,30.744,89.436
35.583,6.013,30.598,89.369
35.625,6.012,30.306,89.368
35.667,6.012,30.705,89.541
35.708,6.013,30.793,89.162
35.750,6.013,30.780,88.602
35.792,6.012,30.728,89.220
35.833,6.012,30.610,89.610
35.875,6.013,30.850,89.617
35.958,6.012,30.927,89.653
36.000,6.009,30.651,89.512
36.042,6.011,30.683,89.542
36.083,6.012,30.577,89.549
36.125,6.010,30.324,89.528
36.167,6.011,30.550,89.525
36.208,6.011,30.691,89.514
36.250,6.010,30.379,89.548
36.292,6.010,30.313,89.573
36.375,6.012,30.595,89.619
36.417,6.013,30.664,89.646
36.458,6.013,30.590,89.644
36.500,6.013,30.659,89.727
36.542,6.015,30.811,89.693
36.583,6.016,30.851,89.692
36.625,6.016,30.719,89.635
36.667,6.014,30.925,89.628
36.708,6.015,30.815,89.604
36.750,6.013,30.583,89.580
36.792,6.012,30.900,89.558
36.833,6.013,30.576,89.554
36.875,6.011,30.758,89.582
36.958,6.011,30.653,89.620
37.000,6.014,30.552,89.640
37.042,6.014,30.785,89.633
37.083,6.013,30.739,89.617
37.125,6.014,30.420,89.605
37.167,6.013,30.581,89.574
37.208,6.011,30.605,89.552
37.250,6.011,30.795,89.558
37.292,6.012,30.218,89.545
37.375,6.014,30.807,89.600
37.417,6.015,30.464,89.674
37.458,6.017,30.726,89.681
37.500,6.015,30.656,89.704
