CD,FI3312A,FI3312B
6.011,28.929,30.163
6.012,28.946,29.870
6.011,28.853,29.862
6.013,29.068,29.916
6.014,28.818,30.072
5.672,29.376,29.546
5.671,29.090,29.721
6.010,28.572,29.672
6.008,29.052,29.916
6.008,28.690,30.105
6.009,29.254,29.725
6.010,28.791,29.928
6.011,29.233,29.955
6.010,29.396,30.054
6.010,29.268,29.727
6.011,29.346,30.000
6.009,29.185,29.714
6.010,29.140,29.659
6.011,28.844,29.621
6.009,29.187,29.879
6.009,29.273,29.845
6.009,29.293,29.825
6.010,28.715,29.588
6.010,28.975,29.501
6.009,28.879,29.601
6.009,29.182,29.538
6.010,29.280,29.769
6.009,29.158,29.444
6.010,28.602,29.754
6.011,29.148,29.911
6.010,28.628,29.720
6.011,29.033,29.706
6.010,28.966,29.833
6.010,29.106,30.368
6.010,29.335,30.425
6.012,29.657,30.506
6.011,28.992,30.156
6.011,29.363,30.243
6.011,29.055,30.206
6.010,29.725,30.281
6.012,29.736,30.279
6.011,29.749,30.190
6.011,29.449,30.493
6.011,29.614,30.256
6.010,29.588,30.071
6.010,29.923,30.082
6.010,29.745,29.855
6.011,29.124,30.156
6.014,29.756,30.181
6.014,29.951,30.461
6.014,29.076,30.109
6.014,29.510,30.288
6.013,29.886,30.302
6.014,29.992,30.179
6.014,29.732,30.422
6.013,29.460,30.188
6.013,29.285,30.325
6.014,29.079,30.156
6.014,29.908,29.991
6.014,29.193,29.868
6.014,29.193,30.404
6.013,29.359,30.313
6.014,29.944,30.263
6.015,30.050,30.173
6.013,30.153,29.960
6.012,30.011,30.506
6.012,30.026,30.161
6.012,30.277,30.246
6.011,29.464,30.064
6.012,29.535,30.287
6.013,29.859,30.088
6.012,29.903,30.078
6.013,29.918,30.199
6.013,29.622,30.030
6.014,29.633,30.118
6.012,29.363,30.158
6.012,29.847,30.123
6.013,29.761,30.284
6.013,29.860,30.198
6.012,29.807,30.127
6.012,29.530,30.127
6.014,29.856,30.350
6.012,29.822,29.994
6.012,29.609,30.143
6.013,29.667,30.041
6.014,29.076,29.870
6.014,29.928,30.060
6.014,29.159,29.972
6.013,29.222,30.040
6.013,29.610,30.063
6.013,29.964,30.138
6.014,29.455,30.061
6.014,29.872,30.139
6.014,29.904,30.082
6.015,29.882,29.876
6.014,29.726,30.087
6.015,30.028,29.841
6.014,29.928,30.052
6.014,30.285,30.211
6.015,29.453,29.963
6.014,29.974,29.857
6.014,30.161,30.089
6.013,29.428,30.136
6.014,30.020,30.097
6.014,29.934,30.054
6.014,29.502,30.109
6.014,29.627,29.990
6.013,30.159,30.125
