DOL,CD,FI3312A,FI3312B
31.167,6.011,30.133,31.433
31.208,6.012,30.031,31.910
31.250,6.012,30.106,31.382
31.292,6.013,30.203,32.019
31.375,2.456,14.873,31.256
31.417,2.454,14.511,30.867
31.458,2.455,14.567,30.977
31.500,2.454,14.543,31.034
31.542,2.454,14.424,30.682
31.583,2.452,14.295,30.755
31.625,2.454,14.431,31.026
31.667,2.453,14.490,30.703
31.708,2.453,14.262,30.429
31.750,2.451,14.206,30.784
31.792,2.450,14.210,30.836
31.833,2.451,14.247,30.592
31.875,2.451,14.314,30.619
31.958,6.010,29.725,31.066
32.000,6.010,29.682,31.544
32.042,6.011,29.735,31.150
32.083,6.009,29.627,31.202
32.125,6.011,29.938,31.426
32.167,6.011,29.572,31.622
32.208,6.010,29.863,30.827
32.250,6.009,29.761,31.078
32.292,6.011,29.943,31.252
32.375,3.372,18.977,30.628
32.417,2.452,13.220,30.570
32.458,2.454,13.314,30.687
32.500,2.455,13.367,30.890
32.542,2.456,13.552,30.898
32.583,2.456,13.592,31.165
32.625,2.455,14.006,31.017
32.667,2.455,14.140,31.060
32.708,2.455,14.100,31.082
32.750,2.454,14.074,30.700
32.792,2.455,14.030,31.073
32.833,2.454,14.023,30.528
32.875,2.453,13.964,30.570
32.958,6.010,29.561,31.508
33.000,6.010,28.799,31.395
33.042,6.011,29.264,31.302
33.083,6.011,29.392,31.356
33.125,6.011,29.243,31.362
33.167,6.008,28.773,31.347
33.208,6.008,29.241,31.158
33.250,6.010,29.291,31.129
33.292,6.010,29.094,31.285
33.375,6.010,29.171,31.357
33.417,6.008,29.270,31.538
33.458,6.012,29.215,31.143
33.500,6.011,28.541,31.056
33.542,6.012,29.190,31.379
33.583,6.013,28.871,31.056
33.625,6.010,29.234,31.225
33.667,6.012,29.182,31.103
33.708,6.010,29.097,31.343
33.750,6.010,29.027,30.960
33.792,6.009,28.429,30.874
33.833,6.008,29.008,30.712
33.875,6.007,29.036,30.868
33.958,6.006,29.088,30.896
34.000,6.006,29.161,31.276
34.042,6.005,29.094,30.727
34.083,6.006,29.192,30.798
34.125,6.006,29.207,30.760
34.167,6.005,29.080,30.633
34.208,6.005,29.081,30.571
34.250,6.003,29.079,30.721
34.292,6.003,29.005,30.342
34.375,6.005,28.967,30.888
34.417,6.006,29.225,30.957
34.458,6.009,29.308,30.828
34.500,6.011,29.096,31.000
34.542,6.011,29.198,30.875
34.583,6.010,29.254,30.981
34.625,6.012,29.387,31.209
34.667,6.013,29.420,31.040
34.708,6.013,29.380,31.231
34.750,6.012,29.237,31.156
34.792,6.011,29.236,31.512
34.833,6.012,29.355,31.349
34.875,6.011,29.199,30.963
34.958,6.010,29.233,30.899
35.000,6.009,29.016,30.853
35.042,6.009,29.131,30.815
35.083,6.008,28.879,30.862
35.125,6.009,29.191,30.857
35.167,6.008,29.399,30.982
35.208,6.008,29.229,30.911
35.250,6.008,29.174,30.724
35.292,6.007,28.961,30.944
35.375,6.009,29.309,31.044
35.417,6.011,29.250,30.561
35.458,6.012,28.861,30.256
35.500,6.012,28.337,30.620
35.542,6.014,28.432,30.744
35.583,6.013,28.366,30.598
35.625,6.012,28.314,30.306
35.667,6.012,28.089,30.705
35.708,6.013,28.296,30.793
35.750,6.013,28.996,30.780
35.792,6.012,28.486,30.728
35.833,6.012,28.629,30.610
35.875,6.013,28.467,30.850
35.958,6.012,28.045,30.927
36.000,6.009,29.037,30.651
36.042,6.011,29.345,30.683
36.083,6.012,28.782,30.577
36.125,6.010,29.381,30.324
36.167,6.011,29.546,30.550
36.208,6.011,29.500,30.691
36.250,6.010,29.414,30.379
36.292,6.010,29.394,30.313
36.375,6.012,28.964,30.595
36.417,6.013,29.598,30.664
36.458,6.013,28.819,30.590
36.500,6.013,28.900,30.659
36.542,6.015,29.511,30.811
36.583,6.016,29.499,30.851
36.625,6.016,29.515,30.719
36.667,6.014,29.478,30.925
36.708,6.015,29.514,30.815
36.750,6.013,29.594,30.583
36.792,6.012,29.591,30.900
36.833,6.013,29.500,30.576
